Forest tenure,Burnt Forest Area,State
Leasehold forest,19,NSW
Public forest,880,NSW
Nature reserve,2750,NSW
Crown land,109,NSW
Private forest,1254,NSW
Leasehold forest,0,NT
Public forest,0,NT
Nature reserve,0,NT
Crown land,0,NT
Private forest,0,NT
Leasehold forest,18,QLD
Public forest,162,QLD
Nature reserve,169,QLD
Crown land,48,QLD
Private forest,110,QLD
Leasehold forest,22,SA
Public forest,0,SA
Nature reserve,62,SA
Crown land,0,SA
Private forest,33,SA
Leasehold forest,0,TAS
Public forest,10,TAS
Nature reserve,3,TAS
Crown land,6,TAS
Private forest,7,TAS
Leasehold forest,0,VIC
Public forest,878,VIC
Nature reserve,496,VIC
Crown land,13,VIC
Private forest,57,VIC
Leasehold forest,50,WA
Public forest,31,WA
Nature reserve,286,WA
Crown land,749,WA
Private forest,22,WA
